tweet_ID	sentiment
884861932712452096	0
	0
	0
884862000303661056	0
884862011317899266	1
	0
	0
884862040812204032	0
884862008046366721	0
884861956028375040	1
884862038899642370	-1
884861952169607168	0
884861951855165440	0
884862019454873601	1
884862108558602240	-1
884862084155973632	0
884862051398680576	0
884862106788646914	0
	0
	0
884862128439660548	0
	0
	0
	0
	0
	0
884862232366125056	0
884862069576790016	0
884862191689764866	-1
884862282848546816	2
884862320689778690	0
884862095480823809	0
	0
	0
	0
	0
884862178381246464	-1
884862057115377665	2
	0
	0
	0
	0
	0
	0
884862229740433409	0
884862208945119232	0
884862454941011969	2
884862354269360130	0
	0
	0
884862502072463360	-1
884862478118735873	0
884862383855988738	0
884862407528591361	0
5566765361	0
	0
884862321184657409	0
884862345473818625	2
	0
	0
	0
	0
	0
	0
884862378386612224	1
	0
	0
884862507244019713	3
884862359348662273	1
884862503024562176	-1
884862630246182914	-1
884862418035363841	3
884862812039806977	0
884862818109018117	0
884863136620326913	-1
884862984857714688	0
	0
884863126298128387	-1
884862831774007299	-2
884862853106327552	1
884862808420229121	0
884862646109048832	-3
884863096099155968	1
	0
	0
	0
884862600491802624	1
884862786500608004	2
	0
	0
	0
	0
	0
	0
884863020706529280	1
	0
	0
884862523157172233	0
884862852292632576	0
884863037500510209	1
884863033515720706	1
884863160477507584	0
	0
	0
	0
	0
	0
884862730397724672	1
884863056496513024	0
884862813310681090	1
	0
884862589519450113	1
884863052969107456	0
884862801566683136	1
884863087257542656	0
884862848601645056	0
884862621496877056	0
884863089304371200	1
	0
	0
884863001488224256	0
	0
	0
	0
	0
	0
	0
884862980005003265	2
884863085793746944	2
	0
	0
	0
	0
	0
	0
884862682926645248	-3
	0
884862541926735874	0
884862799398281216	-1
884862878737735680	-1
884862915324645377	2
	0
	0
	0
	0
	0
	0
884862661812289536	1
884862833388900354	0
884862947549474816	0
884862867840880644	3
884862930818355201	0
884863174247362560	-1
884863200650567685	-1
884863232770527238	-1
884863325154267138	0
884863320876077056	0
884863188218642432	0
884863195088859137	4
884863208523280385	2
884863405563273217	1
884863285320921088	2
	0
	0
	0
	0
	0
	0
884863409338155009	0
	0
	0
884863543623004161	0
884863470591770624	0
884863555069243392	0
884863559934525440	0
884863589579980803	0
884863468855324676	0
884863620089348096	-2
884863677517537280	0
884863583414239232	0
884863611910340608	0
	0
	0
884863783985967105	0
884863756546789376	0
884863842475442176	-1
884863903498465280	1
884863920095342593	2
884863834632146945	0
884863862759202816	1
884863932816654337	-1
884863981290217472	1
884864060797460480	-1
884863961065299971	0
884864020725075970	0
884863988995063809	-1
	0
	0
884864033375100933	0
884864053650366469	0
884864050273955847	2
884863988852457473	2
884864183115894784	0
884864139813834752	1
884864109744881665	2
884864174987366400	-1
884865488257417216	2
884865488366579713	0
884865510382415872	0
884865531316244480	2
884865562563813377	0
884865489842958344	0
	0
	0
	0
	0
	0
	0
884865543433367552	0
884865539750805505	1
884865494326669312	0
884865660253343745	0
884865518183661568	0
884866162806239232	0
884865675105378305	-1
884865574135885824	1
884865594599854080	-1
884865786589962241	2
884866034653700096	0
884865565600468992	0
884866486308884480	1
	0
884865980215828482	1
	0
	0
884865607187005440	1
884865833599741953	0
	0
884865963396521985	0
884866105939959808	1
884866360274276353	1
884866316120842240	3
884866278476918784	1
884866007059267584	0
884866063829274624	1
884866192548270080	0
884865994791034880	0
884866083915616256	-1
884866223942586368	0
884866042803171328	0
884865741047988224	-1
884866461411532801	1
884865897067884544	-1
884865648731365376	0
884865806844260354	3
884865879367876608	0
884865617706307590	1
	0
	0
884865873084919808	1
884865797608402944	0
884865941053591552	1
884865868055924737	0
884866498082336770	0
884866296638263296	1
	0
	0
	0
884866215260323840	2
884866185355022336	0
884866199259152384	0
884866194502758400	-1
884866129071665152	-1
884866153193123843	0
884866355668934656	1
884866168535760897	0
884865873705566208	2
884866225326747650	1
884866354888814592	0
884866364250492928	0
884866259732582407	0
884866479690219523	0
	0
	0
884866456827158528	0
884866593632768000	0
	0
	0
884866586464722945	0
884866524439351298	-1
884866538284732421	-1
884866587538452480	0
884866548913012743	2
884866438464405504	1
884866613153071105	2
884866494135492609	1
	0
884866635395457027	1
884866538792247296	0
	0
884866601572552705	0
	0
884866417572687872	0
	0
	0
	0
	0
	0
884866657969164288	1
884866493539856384	-2
884866602315001857	2
884866670145261568	0
884866755490967553	0
884866754006188032	1
884866796444155904	0
884866835933536261	1
884866801166888962	0
884866763795681281	0
884866830799691781	1
884866791117336576	0
884866847195230209	0
	0
	0
884866866853838848	1
884866896151154688	0
884866956544933888	-3
884866951981518849	0
	0
	0
884866935707533312	0
884866923757879296	1
884866999221989379	0
884867013969162240	0
884867034785472513	1
884867047099957250	4
884867041810952192	0
	0
	0
884867036249247744	1
884867045862641668	1
	0
884867001465831424	0
884867126573629440	1
884867034105991168	1
884867111352455168	0
884867138468622336	0
884867063294164992	0
884867076183048192	1
884867129362702336	0
884867083330215936	-1
884867263735648256	0
884867353015721984	1
884867280143867944	0
884867233800888320	0
884867319788384258	0
	0
	0
	0
	0
	0
884867286775058432	1
884867445495869444	2
	0
	0
	0
	0
	0
	0
